nama_hotel,alamat_hotel,harga_kamar,jenis_kamar,total_kamar_tersedia,wilayah,latitude,longitude
Elegant Nifarro Park 2BR Apartment with Best View Tower A 12-15, Jl. Raya Pasar Minggu,Rp1.467.336,1,2,Jakarta Selatan,-6.263358249671390,106.84415470530500
Comfy Studio Ciputra International Apartment,Amsterdam 6FL-6 Jl Lkr Luar Barat 101,Rp708.722,1,2,Jakarta Barat,-6.173975040462990,106.7281815515630
Big 2BR Apartment Grand Palace Kemayoran By Travelio Tower Genova Floor 1 - 8," Jalan Benyamin Suaeb RT.13/RW.6, Kebon Kosong, Kemayoran, RT.13/RW.6, Kb. Kosong, Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630""",Rp1.090.739,1,2,Jakarta Pusat,-6.160082561758500,106.85232255683300
Sea View 2BR Apartment at Green Bay Condominium,Tower K 11FL-AL Jl Pluit Karang Ayu 1 B1,Rp1.537.983,1,2,Jakarta Utara,-6.108144641932490,106.78006375298000
3BR Relaxing Apartment at Bassura City near Shopping Mall By Travelio,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta. Tower F, Lt 28",Rp986.100,1,2,Jakarta Timur,-6.223485151851130,106.87933293506300
Simply Furnished Studio Apartment at Menteng Park  By Travelio,"Jl. Cikini Raya No.79, RT.1/RW.2, Cikini, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Rp915.945,1,2,Jakarta Pusat,-6.190903952702930,106.84000236279500
Spacious 1BR for 5 Pax at Maple Park Apartment,Tower B 1FL-V Jl HBR Motik 2,Rp505.417,1,2,Jakarta Utara,-6.149363424526950,106.856958812052
Strategic 2BR near Mangga Dua and Ancol at Elpis Apartment By Travelio,"Jalan Gunung Sahari XII No.12, RT.18/RW.3, Gn. Sahari Utara, Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp1.307.096,1,1,Jakarta Pusat,-6.136271787881820,106.82443627234200
Modern Studio at Green Pramuka Apartment with Mall Access By Travelio Tower Nerine Lantai 27 Unit No. P1," Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570""",Rp472.176,1,2,Jakarta Pusat,-6.189928217697280,106.87328957456700
Homey 2BR Apartment @ Casa Grande Residence,Montreal 22F-5 Jl Casablanca Raya Kav 88,Rp2.656.638,1,2,Jakarta Selatan,-6.2234667461727800,106.8418406160320
Apatel Salemba Residence Lt.25,Jl. Salemba Tengah II No.10,Rp699.999,1,2,Jakarta Pusat,-6.194784802720590,106.85592811073500
Studio Elegant The Hive Tamansari Apartment By Travelio,"Tower B Lantai 16 Unit No.3 , Tamansari Hive Apartment, Jl. Donald Isaac Panjaitan, RT.7/RW.11, Cipinang Cempedak, East Jakarta City, Jakarta, Indonesia, B/16/03",Rp1.006.942,1,2,Jakarta Timur,-6.244941486589140,106.87516994418200
Cozy and Stylish Studio Apartment Nine Residence By Travelio Tower NRA Lantai 09 Unit No. 06," Jl. Warung Jati Barat No.12, RT.2/RW.5, Duren Tiga, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12760""",Rp1.488.712,1,2,Jakarta Selatan,-6.253011605386240,106.82667332371200
Chic and Cozy 2BR Apartment at Bassura City,Tower G 32FL Unit BG Jl Basuki Rahmat 1A,Rp779.726,1,2,Jakarta Timur,-6.22254450238663,106.88039710018900
Studio Minimalist Signature Park Grande Studio Apartment with city view By Travelio,"Tower TE, Lantai 16, MT Haryono St No.kav 20, RT.4/RW.1, Cawang, Kramat Jati, East Jakarta City, Jakarta",Rp1.045.794,1,2,Jakarta Timur,-6.244463345027990,106.86619313146700
The Classic 2BR Belleza Apartment,Louvre 16FL - LV7 Jl Letjen Soepeno 34,Rp1.687.535,1,2,Jakarta Selatan,-6.221529923115390,106.78261698138500
Roomy Studio Menteng Square Apartment By Travelio,"Tower Batavia Lantai 16 Unit No.29 - Jl. Pramuka Sari II No.28 Rt.5/Rw.6, Kenari, Senan, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp477.915,1,2,Jakarta Pusat,-6.200351488050520,106.85104476316400
Oakwood Premier Cozmo Jakarta,"Jalan Dr. Ide Anak Agung Gde Agung Blok E4.2 No. 1, Mega Kuningan",Rp2.857.140,12,12,Jakarta Selatan,-6.227256247030100,106.82532851207600
Beautiful and Comfortable 2BR at The Empyreal Apartment By Travelio Tower Masterpiece Lantai 21 Unit 2D," Jl. Epicentrum Tengah No.3, RT.2/RW.5, Karet Kuningan, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12940""",Rp1.736.111,1,2,Jakarta Selatan,-6.2184493813564300,106.83408297346000
Comfy and Private 2BR at Menteng Square Apartment By Travelio Tower Jayakarta Lantai 07," Jl. Pramuka Sari II No.28, RT.5/RW.6, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta""",Rp983.717,1,2,Jakarta Pusat,-6.200747906324820,106.8511257544030
Hester Basoeki ( HB ) Garden Guest House,"Jalan MPR III Dalam no. 45 Cilandak Barat Rt/Rw : 012/ 013, Cilandak",Rp400.000,1,3,Jakarta Selatan,-6.285735151423780,106.8065530660390
2BR Apartment with Sofa Bed at Green Pramuka City,Orchid 28FL Unit B18 Jl. Jend Ahmad Yani,Rp967.318,1,2,Jakarta Pusat,-6.18045206996839,106.87542345055000
Relaxing and Furnished 2BR Bassura City Apartment near Mall By Travelio Tower Edelweiss Lantai 33 Unit No. BJ," Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410""",Rp1.312.745,1,2,Jakarta Timur,-6.222482289257840,106.88036873905700
2BR Modern at City Home Apartment near MOI By Travelio,"Jalan Raya Boulevard Barat, RT. 18 / RW. 8, Kelapa Gading Barat, Jakarta Utara, Daerah Khusus Ibukota Jakarta Santa Monica Bay 22-22",Rp587.121,1,2,Jakarta Utara,-6.150348798130410,106.89020265782900
Cozy and Tranquil Studio Menteng Park Apartment,Sapphire 26FL Unit M Jl. Cikini Raya 79,Rp1.123.724,1,2,Jakarta Pusat,-6.191863915799280,106.84392911674800
3BR with City View at Sudirman Condominium Apartment by Travelio Tower C Lantai 25 Unit 25D," Jalan Garnisun Dalam No.8, RT.5/RW.4, Karet Semanggi, Setia Budi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930""",Rp1.463.090,1,2,Jakarta Selatan,-6.220033129016010,106.81607967371200
2BR Grand Palace Apartment Kemayoran near to JI Expo by Travelio,Jalan Casa Kb. Kosong Kemayoran Kota,Rp904.165,1,1,Jakarta Pusat,-6.159913402553770,106.85231865465500
Studio Tifolia Apartment with Double Bed near LRT Station By Travelio,"Jl. Perintis Kemerdekaan No.2, RW.16, Kayu Putih, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta Lantai 3",Rp475.195,1,2,Jakarta Timur,-6.175154530725820,106.89272449858500
Homey and Easy Access to Mall 2BR Green Pramuka Apartment By Travelio,"Green Pramuka Apartment Tower Bougenville 26-FJ, Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",Rp616.769,1,2,Jakarta Pusat,-6.18952199636188,106.87448233088100
Splendid 2BR Apartment at Bassura City By Travelio,"Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta",Rp1.174.176,1,2,Jakarta Timur,-6.2235310895268600,106.88023265782900
Nice and Stunning 2BR Loft Apartment at Maqna Residence By Travelio Tower Jade Lantai 10 Unit 12," Jl. Meruya Ilir Raya No.88, RT.1/RW.5, Meruya Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610""",Rp1.504.630,1,2,Jakarta Barat,-6.197818773015730,106.76201806789400
Compact 2BR Northland Apartment Near Ancol by Travelio,"Jalan Laksamana R. E. Martadinata No.26, RT.11 / RW.11, Pademangan Barat, Pademangan",Rp637.730,1,2,Jakarta Utara,-6.129660910671990,106.83955928138400
Homey and Clean 1BR Near Grand Indonesia Thamrin Executive Apartment by Travelio,"Tower Thamrin Executive Lantai 17 Unit BB Jl. Kb. Melati 4 No.1A, RT.4/RW.9, Kb. Melati, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",Rp1.590.275,1,2,Jakarta Pusat,-6.195840972217560,106.81646818138400
Modern 1BR Apartment with City View at H Residence Tower 1 09-09, Jl. MT Haryono No.7,Rp1.417.266,1,2,Jakarta Selatan,-6.219401259079520,106.83903947874100
Exclusive Studio Room Apartment at Menteng Park By Travelio,"Jl. Cikini Raya No.79, RT.1/RW.2, Cikini, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Rp502.315,1,2,Jakarta Pusat,-6.190728901486210,106.84014203905700
Exclusive and Strategic Location 1BR Gold Coast Apartment near PIK By Travelio Tower Honolulu Lantai 28 Unit No. S," Jalan Pantai Indah Kapuk Boulevard, Kelurahan Kamal Muara, Kecamatan Penjaringan, Wilayah Jakarta Utara, Propinsi DKI Jakarta""",Rp1.082.846,1,2,Jakarta Utara,-6.101646834499590,106.73841753905600
Fully Furnished Studio Apartment at H Residence,Sapphire 12FL #34 Jl. MT Haryono No. 7,Rp1.040.246,1,2,Jakarta Timur,-6.244740648221840,106.87213098138500
Homey Studio Apartment at Pakubuwono Terrace By Travelio Tower South Lantai 10 Unit 02," Jl. Ciledug Raya No.99B, RT.12/RW.5, Cipulir, Kby. Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta""",Rp804.523,1,2,Jakarta Selatan,-6.237532285047610,106.76974178324000
Stylish and Modern 2BR Bassura City Apartment,Tower A 22FL Unit AR Jl Basuki Rahmat 1A,Rp777.433,1,2,Jakarta Timur,-6.2226102767664700,106.88043311207600
River View 2BR at Teluk Intan Apartment By Travelio,"Tower Sapphire Lantai 21 Unit H, Jl. Teluk Intan Raya No. 1, RT. 7/RW. 16, Pejagalan, Penjaringan, Jakarta Utara, DKI Jakarta, Indonesia 14450",Rp1.006.942,1,2,Jakarta Utara,-6.125695920478090,106.77615069460000
Homey and Comfortable 1BR Apartment at Royal Olive Residence,Tower 1 Lt 12-12I Jl Buncit Raya 101,Rp1.754.382,1,2,Jakarta Selatan,-6.2765621695198200,106.82966311207700
Good Deal 2BR Apartment at Signature Park Tebet By Travelio Tower TA Lantai 07 Unit No. 05," Jl. Letjen M.T. Haryono No.23, RT.10/RW.9, Tebet Tim., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta""",Rp1.880.061,1,2,Jakarta Selatan,-6.242312169288750,106.85462031207700
1BR Modern and Spacious at Apartment L'Avenue By Travelio,"Tower South Lantai 18 Unit 18C Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp993.359,1,2,Jakarta Selatan,-6.248276037782640,106.84398692000100
Great Location Studio Sunter Park View Apartment By Travelio Tower BC Floor 19 Unit No. 1," Jalan Yos Sudarso Kav. 30A, RT.3/RW.11, Sunter Jaya, Tj. Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta""",Rp425.416,1,2,Jakarta Utara,-6.1570920841834600,106.88338401214600
Exclusive and Homey 1 BR L'Avenue Apartment By Travelio,"North Tower. Lantai 5. Unit N-05-B. Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780",Rp993.264,1,2,Jakarta Selatan,-6.248340028393250,106.84431951393200
2BR L'Avenue Apartment By Travelio,"Tower South Lantai 23 Unit No. L, Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Rp1.584.098,1,2,Jakarta Selatan,-6.24842534919521,106.8440727506930
Best Price & Cozy Studio at Gold Coast Apartment By Travelio Tower Bahama Lantai 17 Unit No.M," Jalan Pantai Indah Kapuk Boulevard, Kelurahan Kamal Muara, Kecamatan Penjaringan, Wilayah Jakarta Utara, Propinsi DKI Jakarta""",Rp870.833,1,2,Jakarta Utara,-6.101764183100640,106.73852482742100
Singgahsini Plus Haji Nawi 74,Jl. Haji Nawi Raya No. 74 RT/RW 006/010 Kel. Gandaria Utara Kec. Cilandak Jakarta Selatan,Rp373.380,2,5,Jakarta Selatan,-6.24769614327664,106.85011174386200
Studio Best Location at Menteng Park Apartment By Travelio,"Jl. Cikini Raya No.79, RT.1/RW.2, Cikini, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta. Tower Sapphire, Lt 16",Rp845.033,1,2,Jakarta Pusat,-6.190558241140950,106.84020641207600
Sewaunitkalcit,"Jl. Raya Kalibata No.1, RT.9/RW.4, Rawajati, Pancoran, South Jakarta City, Jakarta 12750",Rp395.130,1,1,Jakarta Selatan,-6.256722974782250,106.85202024021500
Cozy and Spacious Studio Apartment H Residence near MT Haryono By Travelio,"Tower Sapphire Wing Lantai 16 NO.1624 Jl. MT Haryono No.7, RT.12/RW.11, Cipinang Cempedak, Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13340",Rp710.180,1,2,Jakarta Timur,-6.244633996466480,106.87222754091300
Modern and Spacious 2BR L'Avenue Apartment,South 17FL #AB Jl. Raya Pasar Minggu 15,Rp2.013.081,1,2,Jakarta Selatan,-6.24830873780063,106.84428798138500
Deluxe Studio Green Pramuka City a Serene Apartment Living By Travelio,"Tower Scarlet Lantai 20 Unit F1 Jl. Jenderal Ahmad Yani Kav. 49, Rawasari, Cempaka Putih, RT.16/RW.9, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570",Rp538.544,1,2,Jakarta Pusat,-6.190458705598660,106.872518751006
Comfy and Beautiful 1BR at Tamansari The Hive Apartment,Tower A 17FL-10 Jl DI Panjaitan Kav 3-4,Rp1.057.101,1,2,Jakarta Timur,-6.2450534663369800,106.87515921207700
Brand New Studio at Menteng Park Apartment By Travelio Tower Sapphire Lantai 28 Unit No. E," Jl. Cikini Raya No.79, RT.2/RW.2, Cikini, Jakarta, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330""",Rp833.158,1,2,Jakarta Pusat,-6.190678002668840,106.83987078138400
Minimalist Style 2BR Pakubuwono Terrace Apartment,Tower S 19FL Unit A2 Jl. Ciledug Raya,Rp1.116.053,1,2,Jakarta Selatan,-6.237500289083070,106.76974178324000
2BR Exclusive Menteng Park Apartment with Private Lift By Travelio,"Tower Emerald Lantai 10 Unit No. F - Jl. Cikini Raya No.79, RT.1/RW.2, Cikini, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Rp1.571.712,1,2,Jakarta Pusat,-6.190726239408910,106.84013131356800
"3BR Comfy Pancoran L'Avenue Apartment By Travelio Tower North, Lantai 17 Unit G, Lantai 5 Unit G"," Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780""",Rp2.132.153,1,3,Jakarta Selatan,-6.248318698190580,106.84433024276800
Minimalist Studio with City View at Green Pramuka Apartment,"Jl Jend A Yani 49, 18FL # FA",Rp821.808,1,2,Jakarta Pusat,-6.1881745385960100,106.8747582544030
Cozy and Brand New at 2BR Woodland Park Residence Apartment By Travelio Tower B Lantai 08 Unit 02," Jl. Raya Kalibata, RT.9/RW.4, Rawajati, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta""",Rp1.552.081,1,2,Jakarta Selatan,-6.255184026191120,106.85639881022100
Fully Furnished and Spacious 3BR Apartment at Mangga Dua Residences,Tower 1 12FL #32 Jl Mangga Dua Abdad 111,Rp2.583.328,1,2,Jakarta Pusat,-6.1378855796315100,106.82418821207500
Cozy and Homey Studio Tamansari The Hive Apartment By Travelio,"Tower A Lantai 20 Unit 9 Jl. DI. Panjaitan No.Kav. 3-4 RT.7/RW.11, Cipinang Cempedak Jatinegara East Jakarta City, Jakarta 13340",Rp698.054,1,2,Jakarta Timur,-6.244630822326220,106.87554717160500
Comfy Studio Room Apartment at Menteng Park By Travelio,"Jl. Cikini Raya No.79, RT.1/RW.2, Cikini, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Rp669.753,1,2,Jakarta Pusat,-6.190758238217680,106.84017959333300
Relaxing 2BR with City View The Wave Apartment By Travelio,"Tower Sand Lantai 33 No.Unit 33A. Komplek Rasuna Epicentrum, Jalan Epicentrum Boulevard Timur, Menteng Atas, Setiabudi, RT.5/RW.1, Menteng Atas, Setia Budi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12960",Rp861.111,1,2,Jakarta Selatan,-6.213831004682340,106.8363606743370
Modern 1BR Apartment @ Casa Grande Residence By Travelio,"Tower Montreal Lantai 16 - Jl. Casablanca Raya Kav 88 Mall Kota Kasablanka, RT.14/RW.5, Menteng Dalam, Tebet, Jakarta, Daerah Khusus Ibukota Jakarta",Rp939.394,1,2,Jakarta Selatan,-6.223117305315620,106.84300139123700
Apartment Sudirman Suite 12b,"Jl. Jend. Sudirman No.36, RT.14/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp1.650.000,1,2,Jakarta Pusat,-6.215452448612880,106.81623852742200
Comfort and Strategic 2BR Apartment at Cervino Village By Travelio Tower 1 Lantai 9 Unit No. D," Jl. KH. Abdullah Syafei Kav. 27, RT.17/RW.1, Tebet Barat, Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta""",Rp2.084.256,1,2,Jakarta Selatan,-6.224676411772830,106.85112908324000
Best Value Studio Room Apartment at Kebagusan City By Travelio,"Jalan Baung III No.16, RT.1/RW.3, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520",Rp358.796,1,2,Jakarta Selatan,-6.224569755937240,106.85117199858600
2BR Modern Room With Direct Access To Shopping Center at  Bassura Apartment By Travelio,"Tower A, Unit A17AF, RT.8/RW.10, South Cipinang Besar, Jatinegara, East Jakarta City, Jakarta",Rp645.834,1,2,Jakarta Timur,-6.222546283016050,106.88042238324000
Newly Furnished Studio Apartment at Menteng Park,Sapphire 8FL-K Jl. Cikini Raya No.79,Rp1.351.963,1,2,Jakarta Pusat,-6.190736905678720,106.84017422891400
Elegant Studio at Nifarro Park Apartment By Travelio Tower Mahony Lantai 03 Unit No. 31," Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12510""",Rp881.942,1,2,Jakarta Selatan,-6.2632862623017100,106.8440313237120
Relaxing Studio Signature Park Tebet Apartment By Travelio Tower B Lantai 25 Unit 18B," Jl. Letjen M.T. Haryono No.23, RT.10/RW.9, Tebet Tim., Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12820""",Rp720.440,1,2,Jakarta Selatan,-6.2424401519599600,106.85456666789400
Studio Kebayoran Icon Apartment near Gandaria City Mall,"Floor 8,9,10,11 & 12 Jl. Ciledug Raya",Rp756.792,1,3,Jakarta Selatan,-6.237783523886460,106.77821888324000
Business Residence 3BR at Grand Palace Kemayoran By Travelio,"Jalan Benyamin Suaeb Blok A No.5, RT.13/RW.6, Kebon Kosong, Kemayoran, RT.13/RW.6, Kb. Kosong, Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta. Tower Dario, Lt 2 - 3",Rp1.435.183,1,1,Jakarta Pusat,-6.1598585570798700,106.85228232371100
Ascott Kuningan Jakarta,"Ciputra World 1, Jalan Prof Dr Satrio Kav. 3-5, Setiabudi",Rp2.808.300,6,7,Jakarta Selatan,-6.224701928124170,106.82415939673000
Brand New and Comfy 2BR at L'Avenue Apartment By Travelio Tower South Lantai 23," Jl. Raya Pasar Minggu No.15, RT.7/RW.9, Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta""",Rp2.072.333,1,2,Jakarta Selatan,-6.248329363292020,106.8440727506930
Comfortable 2BR Apartment at Menteng Square By Travelio Tower Jayakarta Lantai 19," Jl. Pramuka Sari II No.28, RT.5/RW.6, Kenari, Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta""",Rp1.371.395,1,2,Jakarta Pusat,-6.200790570592600,106.85108283905700
Sea View Modern 2BR Apartment at Green Bay Condominium By Travelio Tower K Lantai 11 Unit No. AL," Jl. Pluit Karang Ayu 1 No.B1, RT.20/RW.2, Pluit, Kec. Penjaringan, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14450""",Rp2.069.870,1,2,Jakarta Utara,-6.107835872817190,106.77900171207500
Studio Spacious with City View West Vista Apartment By Travelio,"Tower The Crest Lantai 32 Unit 05 Jalan Lingkar Luar No.8, Duri Kosambi, Cengkareng, RT.6/RW.8, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",Rp645.834,1,2,Jakarta Barat,-6.130206880987920,106.73026112243300
Highest Value Studio Apartment at H Residence,Tower 1 18FL Unit 08 Jl. MT Haryono No.7,Rp983.830,1,2,Jakarta Timur,-6.244570005402840,106.87223826974900
Homey with Beautifully Designed 2BR Bassura City Apartment By Travelio Tower F Lantai 10 Unit No. AB," Jl. Basuki Rahmat No.1A, RT.8/RW.10, Cipinang Besar Sel., Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410""",Rp610.245,1,2,Jakarta Timur,-6.222482289257840,106.88043311207600
Nice and Simple Style 2 BR Grand Palace Kemayoran Apartment By Travelio Tower Agusto 18 AAD," Jl. Casa Kb. Kosong Kemayoran Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10630""",Rp1.141.531,1,2,Jakarta Pusat,-6.159847890188070,106.85234669673000
2BR Residence at Ciputra International Apartment By Travelio Tower Amsterdam Ciputra International Floor 12 - 26," Jl. Lkr. Luar Barat No.101, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740""",Rp2.006.170,1,1,Jakarta Selatan,-6.213875274738470,106.81885739794700
Minimalist 2BR Apartment at Springhill Terrace Residence,Tower Oakwood 32FL-I Jl. Benyamin Sueb,Rp1.556.064,1,2,Jakarta Utara,-6.149480319390280,106.85127221207600
Spacious Studio with City View West Vista Apartment,The Crest 32FL #05 Jl. Lingkar Luar No.8,Rp1.031.992,1,2,Jakarta Barat,-6.15781382306449,106.726747427422
Minimalist Studio at Kebagusan City Apartment,B (Royal) 15FL-20 Jl Baung III 16,Rp433.382,1,2,Jakarta Selatan,-6.30582905438836,106.83595073113400
Studio Apartment at Menteng Park By Travelio,"Menteng Park Apartment, Tower Diamond Lt.9 Jl. Cikini Raya No.79, RT.1/RW.2, Cikini, Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",Rp1.036.201,1,2,Jakarta Pusat,-6.190643571320470,106.8401634967300
Fully Furnished and Cozy Studio Tifolia Apartment,Lt 12A-31 Jl. Perintis Kemerdekaan No.2,Rp736.874,1,2,Jakarta Timur,-6.175143864141760,106.89268158323900
Comfy Living Studio Apartment at Belmont Residence By Travelio Tower E Lantai 18 Unit 1810," Jalan Lapangan Bola, Meruya Ilir, RT.8/RW.7, Srengseng, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11620""",Rp678.213,1,2,Jakarta Barat,-6.200125872175000,106.76277226393100
Homey and Best Modern 2BR Apartment at Casa Grande Residence By Travelio,"Tower Montreal Lantai 20 Unit UMT 08 Jl. Casablanca Raya Kav 88 Mall Kota Kasablanka, RT.14/RW.5, Menteng Dalam, Tebet, Jakarta, Daerah Khusus Ibukota Jakarta",Rp3.546.293,1,2,Jakarta Selatan,-6.223321445754580,106.84184081207600
"Luxury Design 3BR Apartment Grand Palace Kemayoran By Travelio Tower Genova, Floor 09, Unit No. G-09-GA"," Jl. H. Benyamin Sueb Blok A5, Kemayoran, Jakarta Pusat, DKI Jakarta""",Rp1.287.857,1,2,Jakarta Pusat,-6.15995455909628,106.85234669673000
Homey and Pleasant 2BR Apartment at Green Pramuka near Mall By Travelio Tower Orchid Lantai 23 Unit No. B5," Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10570""",Rp694.444,1,2,Jakarta Pusat,-6.189589828693220,106.87345774587000
Simply Modern Studio at Nifarro Apartment By Travelio Tower A Lantai 17," Jl. Raya Pasar Minggu RT.1/RW.1, Pejaten Timur, Pasar Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta""",Rp902.775,1,2,Jakarta Selatan,-6.263403575046100,106.84338759352400
Apatel Elpis  Residences 07B05,"Jalan Gn. Sahari 12 No.12, RT.18/RW.3, Gn. Sahari Utara, Sawah Besar",Rp490.000,1,2,Jakarta Pusat,-6.148772048229150,106.8364678269180
Elegant Studio Apartment at Nifarro Park,Mahony 03FL Unit 31 Jl Raya Pasar Minggu,Rp873.750,1,2,Jakarta Selatan,-6.263287325623120,106.84410657717100
Modern and Brand New Studio at Ciputra International Apartment By Travelio Tower San Fransisca Lantai 26," Jl. Lkr. Luar Barat No.101, Kembangan Utara, Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta""",Rp1.154.426,1,2,Jakarta Barat,-6.173647518131430,106.72912846974900
Best Location 1BR at Thamrin Residence Apartment By Travelio,"Tower Alamanda lantai 35 Unit AE - Jalan Kebon Kacang Raya, RT.3/RW.8, Kebon Melati, Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Rp1.125.802,1,2,Jakarta Pusat,-6.197619337442290,106.81702246974900
Strategic and Comfy 2BR City Home MOI Apartment,Tower MHB 12FL # 18 Jl Raya Blvd Barat,Rp1.054.925,1,2,Jakarta Utara,-6.149020862802290,106.89114485775100
Comfy with City View Studio at Tifolia Apartment,Floor 21 Unit 37 Jl Perintis Kemerdekaan,Rp687.994,1,2,Jakarta Timur,-6.175122530972970,106.89267085440300
Apatel Maqna Residence,"MAQNA Residence Ruko no 2, Jl. Meruya Ilir Raya No.88, RT.1/RW.5, Meruya Utara, Kec. Kembangan, Jakarta, Daerah Khusus Ibukota Jakarta 11610",Rp605.500,1,2,Jakarta Barat,-6.197002640409160,106.76211453905700
Simply Living 2BR at Bassura City Apartment,Tower G 21F-BM Jl. Jend. Basuki Rachmat,Rp1.149.510,1,2,Jakarta Timur,-6.222524951764190,106.88032582371200
Best View and Comfy Studio Gold Coast Apartment,"Athlantic 27FL-D, Jl. Pantai Indah Kapuk",Rp1.548.362,1,2,Jakarta Utara,-6.101636166443670,106.73846045440200
Studio Compact and Cozy Apartment Green Pramuka City By Travelio Tower Nerine Lantai 23 Unit No. Q01," Jl. Jenderal Ahmad Yani Kav. 49, RT.16/RW.9, Rawasari, Cempaka Putih, Jakarta Pusat, DKI Jakarta""",Rp549.055,1,2,Jakarta Pusat,-6.188274940776310,106.87475942506300
